Season,Band,Parameter,Coefficient,Abs_Coefficient,VIP,VIP_Class,Influence_Class,R2_Train,R2_CV,RMSE_CV,Components
Apr15_Jun15,B5,Residual_NDVI,-0.464176226,0.464176226,1.678411192,High,Strong,0.429926991,0.155328063,0.919060355,1
Apr15_Jun15,B8A,Soil_Moisture,-0.146066791,0.146066791,1.28486145,High,Weak,0.07386987,-0.299904309,1.140133461,1
Apr15_Jun15,B8A,CAMS_AOD,0.119692913,0.119692913,1.052866351,High,Weak,0.07386987,-0.299904309,1.140133461,1
Apr15_Jun15,B8A,TCWV,0.117490328,0.117490328,1.033491541,High,Weak,0.07386987,-0.299904309,1.140133461,1
Apr15_Jun15,B8A,Residual_NDVI,-0.047215887,0.047215887,0.415329672,Low,Negligible,0.07386987,-0.299904309,1.140133461,1
Apr15_Jun15,B9,Soil_Moisture,-0.106429999,0.106429999,0.913025297,Moderate,Weak,0.071860133,-0.147091893,1.071023759,1
Apr15_Jun15,B9,CAMS_AOD,0.060585315,0.060585315,0.519739979,Low,Negligible,0.071860133,-0.147091893,1.071023759,1
Apr15_Jun15,B9,TCWV,0.177947016,0.177947016,1.52654448,High,Weak,0.071860133,-0.147091893,1.071023759,1
Apr15_Jun15,B9,Residual_NDVI,-0.087691532,0.087691532,0.752274625,Low,Negligible,0.071860133,-0.147091893,1.071023759,1
Apr15_Jun15,B11,Soil_Moisture,-0.333374694,0.333374694,1.04778598,High,Moderate,0.564343281,0.123083991,0.936437937,1
Apr15_Jun15,B11,CAMS_AOD,-0.097593508,0.097593508,0.306733268,Low,Negligible,0.564343281,0.123083991,0.936437937,1
Apr15_Jun15,B11,TCWV,-0.005737593,0.005737593,0.018033071,Low,Negligible,0.564343281,0.123083991,0.936437937,1
Apr15_Jun15,B11,Residual_NDVI,-0.533136027,0.533136027,1.675629449,High,Strong,0.564343281,0.123083991,0.936437937,1
Apr15_Jun15,B12,Soil_Moisture,-0.34657081,0.34657081,0.968549572,Moderate,Moderate,0.710540869,0.35785657,0.801338524,1
Apr15_Jun15,B12,CAMS_AOD,-0.139241997,0.139241997,0.389134841,Low,Weak,0.710540869,0.35785657,0.801338524,1
Apr15_Jun15,B12,TCWV,-0.019410859,0.019410859,0.054246864,Low,Negligible,0.710540869,0.35785657,0.801338524,1
Apr15_Jun15,B12,Residual_NDVI,-0.610145211,0.610145211,1.705151923,High,Very Strong,0.710540869,0.35785657,0.801338524,1
Nov15_Jan15,B2,Soil_Moisture,-0.256214293,0.256214293,0.650331746,Low,Moderate,0.379768885,0.227225835,0.879075745,3
Nov15_Jan15,B2,CAMS_AOD,-0.145700898,0.145700898,0.75059347,Low,Weak,0.379768885,0.227225835,0.879075745,3
Nov15_Jan15,B2,TCWV,-0.069318928,0.069318928,0.768965029,Low,Negligible,0.379768885,0.227225835,0.879075745,3
